,CensusTract,SurfaceArea,LotArea,FootPrint,Neighborhood
356,2012300,3189742.425,1095165,588726.6948,Crotona Park East
357,2012500,1828803.462,938826,525593.8737,Morrisania-Melrose
358,2012701,1172804.161,630255,334089.3486,Hunts Point
359,2012901,1684031.13,931289,514967.3845,Longwood
360,2013000,1250249.507,720160,265544.8623,Schuylerville-Throgs Neck-Edgewater Park
361,2013100,2475848.319,1386594,666224.0629,Longwood
362,2013200,6526040.713,4343914,1432185.273,Schuylerville-Throgs Neck-Edgewater Park
363,2013300,1734820.334,1242365,364771.4423,Morrisania-Melrose
364,2013500,1805899.395,1123075,398656.9835,Morrisania-Melrose
365,2013800,8330445.906,3712902,979748.9597,Schuylerville-Throgs Neck-Edgewater Park
366,2014100,1907232.438,825649,489380.9051,Morrisania-Melrose
367,2014300,1395894.317,453726,353516.2233,East Concourse-Concourse Village
368,2014400,4208791.513,3005433,616535.3375,Schuylerville-Throgs Neck-Edgewater Park
369,2014500,1954010.136,1163645,531354.2703,Claremont-Bathgate
370,2014701,1494598.342,1019684,297744.759,Claremont-Bathgate
371,2014702,1247172.497,890088,211664.1225,Claremont-Bathgate
372,2014900,1676847.847,1080859,518495.2866,Morrisania-Melrose
373,2015100,2251593.476,1274877,664660.9414,Morrisania-Melrose
374,2015200,3151751.236,1727491,695858.1369,Schuylerville-Throgs Neck-Edgewater Park
375,2015300,2525294.058,1474896,581222.7265,Crotona Park East
376,2015500,1229990.216,711809,377010.7747,Crotona Park East
377,2015700,3384899.208,1248988,696573.2219,Crotona Park East
378,2015800,1751816.273,1081622,453332.3898,Schuylerville-Throgs Neck-Edgewater Park
379,2015900,1112938.777,729808,366202.4518,Hunts Point
380,2016000,5532323.464,3258106,1032897.17,Schuylerville-Throgs Neck-Edgewater Park
381,2016100,2573147.016,1514214,903719.2289,Crotona Park East
382,2016200,1944076.728,1303131,494859.201,Schuylerville-Throgs Neck-Edgewater Park
383,2016300,6340258.688,5513500,33367.89495,park-cemetery-etc-Bronx
384,2016400,1768563.774,1139329,468381.2225,Schuylerville-Throgs Neck-Edgewater Park
385,2016500,2041029.922,875129,579140.5085,Claremont-Bathgate
386,2016600,3078388.84,1646187,601614.5981,Schuylerville-Throgs Neck-Edgewater Park
387,2016700,2215210.99,1205204,781405.9166,Claremont-Bathgate
388,2016900,1000160.565,536588,230588.4831,Claremont-Bathgate
389,2017100,1837138.948,1648310,7206.932987,park-cemetery-etc-Bronx
390,2017300,1774688.218,913290,481549.7111,East Concourse-Concourse Village
391,2017500,1631792.181,974704,615165.975,East Concourse-Concourse Village
392,2017701,1147267.723,699129,432238.595,East Concourse-Concourse Village
393,2017702,1516815.604,883301,538450.3953,East Concourse-Concourse Village
394,2017901,825937.1731,484946,314199.4485,East Concourse-Concourse Village
395,2017902,827548.4377,331461,230949.6693,East Concourse-Concourse Village
396,2018101,831112.957,544831,351664.6359,East Concourse-Concourse Village
397,2018102,1040321.762,577066,396467.1591,East Concourse-Concourse Village
398,2018301,734996.2866,412872,292870.9079,East Concourse-Concourse Village
399,2018302,1208451.002,787615,508921.6684,East Concourse-Concourse Village
400,2018400,4814309.849,2921675,1084176.621,Schuylerville-Throgs Neck-Edgewater Park
401,2018500,4434780.612,2272817,1348248.764,Morrisania-Melrose
402,2018900,3923652.967,1335148,797860.3374,Highbridge
403,2019300,2587522.529,1085075,404968.1411,Highbridge
404,2019400,8717967.295,3117218,659732.666,Schuylerville-Throgs Neck-Edgewater Park
405,2019500,2361340.762,1134426,726763.2957,West Concourse
406,2019700,1597102.903,868298,569760.9321,West Concourse
407,2019900,1908263.218,1086913,686855.9363,Highbridge
408,2020000,3678684.278,1950942,1164055.58,Van Nest-Morris Park-Westchester Square
409,2020100,2967245.024,598298,343203.217,Highbridge
410,2020200,1343331.054,795730,411784.3359,Westchester-Unionport
411,2020400,1447955.991,896769,465886.132,Westchester-Unionport
412,2020501,2949065.712,1099586,397735.0948,University Heights-Morris Heights
413,2020502,1087823.775,660563,300775.357,University Heights-Morris Heights
414,2020601,1629908.752,992280,506323.351,Westchester-Unionport
415,2020900,1424317.779,795797,546840.0836,West Concourse
416,2021001,2077421.729,1705443,510004.7978,Parkchester
418,2021100,1659664.637,867147,507618.4051,Highbridge
420,2021301,643488.1025,196784,147898.4735,University Heights-Morris Heights
421,2021302,1869241.533,931907,537865.2336,Highbridge
422,2021501,986700.641,630350,373221.3194,University Heights-Morris Heights
423,2021502,1682567.737,938392,552543.6627,University Heights-Morris Heights
424,2021601,1761363.274,1017668,547115.8413,West Farms-Bronx River
426,2021700,1703467.167,871015,582628.0539,University Heights-Morris Heights
427,2021800,3460968.427,1611333,742154.0071,West Farms-Bronx River
428,2021900,1541640.936,746258,584492.9732,Highbridge
429,2022000,2254221.422,485890,310492.3303,East Tremont
430,2022101,732245.1217,428128,298030.2147,West Concourse
431,2022102,842620.0576,508770,343278.0081,West Concourse
432,2022200,2370424.548,1434801,756390.193,Parkchester
