,BoroCT2010,LotArea,FP,CT_Land,Bldg/Land,Lot/Land,Bldg/Lot
301,2003300,1013276.0,462798.008157,1639977.74021,28.22,61.79,45.67
302,2003500,942682.0,569138.169234,1525330.72751,37.31,61.8,60.37
303,2003700,1581021.0,46653.2087207,1787327.10231,2.61,88.46,2.95
304,2003800,405320.0,160584.224448,682166.209681,23.54,59.42,39.62
305,2003900,1423642.0,741549.183434,2323222.87634,31.92,61.28,52.09
306,2004001,874219.0,329155.167902,1325276.21608,24.84,65.97,37.65
307,2004100,1278619.0,503896.257464,1977775.75904,25.48,64.65,39.41
308,2004200,3704821.0,861801.888266,5212170.02962,16.53,71.08,23.26
309,2004300,1478339.0,841061.949791,2442986.14279,34.43,60.51,56.89
310,2004400,1872130.0,381254.719632,2884624.05826,13.22,64.9,20.36
311,2004600,926456.0,284224.553773,1432044.17204,19.85,64.69,30.68
312,2004800,697883.0,368018.056631,1568167.5336,23.47,44.5,52.73
313,2005001,722703.0,410381.970107,1053604.11871,38.95,68.59,56.78
314,2005002,812519.0,550894.848853,1226231.22419,44.93,66.26,67.8
315,2005100,2766315.0,1374928.85126,5509135.1983,24.96,50.21,49.7
316,2005200,1214074.0,668493.871772,2009765.3173,33.26,60.41,55.06
317,2005300,856800.0,130939.798956,907656.964368,14.43,94.4,15.28
318,2005400,1339577.0,806267.072713,2133456.9939,37.79,62.79,60.19
319,2005600,999406.0,456705.971064,1511686.22421,30.21,66.11,45.7
320,2005902,416046.0,252442.601362,766665.341577,32.93,54.27,60.68
321,2006000,661399.0,412520.336722,3413566.89784,12.08,19.38,62.37
322,2006100,1719223.0,687903.031377,2605984.6964,26.4,65.97,40.01
323,2006200,1240181.0,445600.769438,2035610.9365,21.89,60.92,35.93
324,2006300,6045323.0,2848917.66218,11410337.4029,24.97,52.98,47.13
325,2006400,998761.0,483506.7129,1838840.26351,26.29,54.31,48.41
326,2006500,1831448.0,1167178.54402,2812249.04136,41.5,65.12,63.73
327,2006700,1418949.0,647260.286659,2277490.19322,28.42,62.3,45.62
328,2006800,969410.0,411955.396795,1692236.92018,24.34,57.29,42.5
329,2006900,1320289.0,551264.691299,2029126.11687,27.17,65.07,41.75
